"eventenglishtitle","eventarabictitle","eventarabicorganizername","eventenglishorganizername","eventstartingdate","eventendingdate","introductiondate","locationinarabic","locationinenglish","eventlogo","eventcategory","maplocationlongitude","maplocationlatitude","createddate","typeofevent"
" Muffin & Cake Decoration Workshop","ورشة تزيين الكيك","دبل تري من هيلتون دبي جميرا بيتش","DoubleTree by Hilton Dubai Jumeirah Beach","08/01/2018 00:00:00","08/01/2018 00:00:00","07/31/2018 00:00:00","مؤسسة دبي لرعاية النساء والأطفال","Dubai Foundation for Women and Children","/StagingImages/EventsImages/1532514445133.png","","55.50835847854614","25.156511280815376","07/25/2018 00:00:00","الفنون والثقافة"
"Donation of water and fruits to labors","توزيع المياه المعدنية و الفواكه على العمال","انا بافلوفا","Anna Pavlova","07/29/2018 00:00:00","07/29/2018 00:00:00","07/29/2018 00:00:00","ساحة الخليج","Business Bay","/StagingImages/EventsImages/1532516094236-1.jpeg","","55.28014140000005","25.1854241","07/25/2018 00:00:00","الاعمال الخيرية"
"First aid workshop","ورشة الإسعافات الأولية","محمد احمد القاضي","Mohammed ahmed alqadhi","07/26/2018 00:00:00","07/27/2018 00:00:00","07/26/2018 00:00:00","نادي ضباط شرطة دبي","dubai police officers club","/StagingImages/EventsImages/1532541906183.jpeg","","55.32509244838616","25.223321140209723","07/25/2018 00:00:00","إجتماعي"
"cool their summer","برد صيفهم","احمد علي","ahmed ali","08/03/2018 00:00:00","10/05/2018 00:00:00","08/03/2018 00:00:00","دبي","Dubai","/StagingImages/EventsImages/1532588066540.jpeg","","55.270782800000006","25.2048493","07/26/2018 00:00:00","إجتماعي"
"cool their summer","برد صيفهم","احمد علي","ahmed ali","08/03/2018 00:00:00","10/05/2018 00:00:00","08/03/2018 00:00:00","دبي","Dubai","/StagingImages/EventsImages/1532588066540.jpeg","","55.270782800000006","25.2048493","07/26/2018 00:00:00","حملات توعية"
"Medical check and awareness session","جلسة توعية وفحص طبي","دبل تري من هيلتون دبي - الخليج التجاري","DoubleTree by Hilton Dubai – Business Bay","07/29/2018 00:00:00","07/29/2018 00:00:00","07/28/2018 00:00:00","مؤسسة دبي لرعاية النساء والأطفال","Dubai Foundation for Women and Children","/StagingImages/EventsImages/1532589679074.png","","55.50835847854614","25.156511280815376","07/26/2018 00:00:00","آخر"
"Waleef Volunteer","مبادرة وليف التطوعية","ادارة كبار السن","Elderly Dept.","08/01/2018 00:00:00","12/31/2018 00:00:00","08/01/2018 00:00:00","مدينة دبي","Dubai City","/StagingImages/EventsImages/1534322189616.png","","55.270782800000006","25.2048493","07/29/2018 00:00:00","إجتماعي"
" Manorama Ponnonakkazhcha 2018","فعالية مانوراما بونونا كازشها 2018","فريق أكّاف التطوعي","AKCAF Volunteer Group","09/21/2018 00:00:00","09/21/2018 00:00:00","09/21/2018 00:00:00","أكسبو الشارقة","Expo Centre Sharjah","/StagingImages/EventsImages/1533020144682.jpeg","","55.29118461479493","25.310067735770478","07/31/2018 00:00:00","إجتماعي"
"Psychological and social care for inmates of Dubai prisons","الرعاية النفسية و الاجتماعية لنزلاء المؤسسات العقابية والاصلاحية","دكتورة هدى  عبدالله السويدي","Dr. Huda Abdulla Al Suwaidi","08/01/2018 00:00:00","12/30/2018 00:00:00","08/08/2018 00:00:00","المؤسسات ىالعقابية و الاصلاحية","Dubai prisons","/StagingImages/EventsImages/1533029902752.png","","55.50325220000002","25.1621768","07/31/2018 00:00:00","إجتماعي"
"Direct this generation","توجيه هذا الجيل","المهندس محمد عبدالفتاح","Eng Mohammed Abdulfatah","08/07/2018 00:00:00","08/07/2018 00:00:00","08/07/2018 00:00:00","الشارقة","sharjah","/StagingImages/EventsImages/1533199836330.jpeg","","55.49926920000007","25.2892054","08/02/2018 00:00:00","إجتماعي"
"Direct this generation","توجيه هذا الجيل","المهندس محمد عبدالفتاح","Eng Mohammed Abdulfatah","08/07/2018 00:00:00","08/07/2018 00:00:00","08/07/2018 00:00:00","الشارقة","sharjah","/StagingImages/EventsImages/1533199836330.jpeg","","55.49926920000007","25.2892054","08/02/2018 00:00:00","الفنون والثقافة"
"Direct this generation","توجيه هذا الجيل","المهندس محمد عبدالفتاح","Eng Mohammed Abdulfatah","08/07/2018 00:00:00","08/07/2018 00:00:00","08/07/2018 00:00:00","الشارقة","sharjah","/StagingImages/EventsImages/1533199836330.jpeg","","55.49926920000007","25.2892054","08/02/2018 00:00:00","حملات توعية"
"Back to School Local Edition","عودة إلى المدرسة النسخة المحلية","رنا عوض","Rana Awad","08/25/2018 00:00:00","08/25/2018 00:00:00","08/25/2018 00:00:00","مدرسة الآفاق الإنجليزية","Horizon English School","https://api.cda.gov.aehttps://api.cda.gov.ae/StagingImages/EventsImages/1533204174486.jpeg","","55.270782800000006","25.2048493","08/02/2018 00:00:00","آخر"
"Good Bye summer","وداعا فصل الصيف","كومار شارما","kumar sarma","09/22/2018 00:00:00","09/22/2018 00:00:00","08/06/2018 00:00:00","بر دبي","bur dubai","https://api.cda.gov.aehttps://api.cda.gov.ae/StagingImages/EventsImages/1533543840789.jpeg","","55.30329059999997","25.2145565","","الصحة والبيئة"
"Workshop about CV Writing - Huxley","ورشة عمل حول كتابة السيرة الذاتية - هكسلي","شركة هكسلي","Huxley Company","08/30/2018 00:00:00","08/30/2018 00:00:00","08/29/2018 00:00:00","مؤسسة دبي لرعاية النساء و الاطفال","Dubai Foundation for Women and Children","/StagingImages/EventsImages/1533545774348.png","","55.50835847854614","25.156511280815376","08/06/2018 00:00:00","آخر"
"BCG Community Day 4th October 2018","يوم مجتمع بي سي جي 4 أكتوبر 2018","مجموعة بوسطن الاستشارية","The Boston Consulting Group","10/04/2018 00:00:00","10/04/2018 00:00:00","10/03/2018 00:00:00","مؤسسة دبي لرعاية النساء و الاطفال","Dubai Foundation for Women and Children","/StagingImages/EventsImages/1533547355481.png","","55.50835847854614","25.156511280815376","08/06/2018 00:00:00","آخر"
"Be part of specialist CDA youth Council Volunteer","فرصة لللإنضمام إلى مجلس شباب هيئة تنمية المجتمع التطوعي","مجلس شباب هيئة تنمية المجتمع","CDA youth Council","08/18/2018 00:00:00","08/18/2018 00:00:00","08/18/2018 00:00:00","مركز الشباب ، أبراج الإمارات","Youth Council, Emirates Tower","/StagingImages/EventsImages/1533699898234.png","","55.28281070000003","25.217603","08/08/2018 00:00:00","آخر"
"Thukher Club Volunteers","متطوعي نادي ذخر","إدارة كبار السن","Elderly Department","08/12/2018 00:00:00","12/31/2018 00:00:00","08/09/2018 00:00:00","البرشاء","Al barsha","/StagingImages/EventsImages/1533717906478.jpeg","","55.199043500000016","25.1032118","08/08/2018 00:00:00","إجتماعي"
"workshop 1+1=11","ورشة 1+1=11","المهندس محمد آل علي","ENG Moahammed Al Ali","08/14/2018 00:00:00","08/14/2018 00:00:00","08/14/2018 00:00:00","الشارقة","Sharjah","/StagingImages/EventsImages/1534054034784.jpeg","","55.52225229999999","25.3017528","08/12/2018 00:00:00","الفنون والثقافة"
"workshop 1+1=11","ورشة 1+1=11","المهندس محمد آل علي","ENG Moahammed Al Ali","08/14/2018 00:00:00","08/14/2018 00:00:00","08/14/2018 00:00:00","الشارقة","Sharjah","/StagingImages/EventsImages/1534054034784.jpeg","","55.52225229999999","25.3017528","08/12/2018 00:00:00","إجتماعي"
"workshop 1+1=11","ورشة 1+1=11","المهندس محمد آل علي","ENG Moahammed Al Ali","08/14/2018 00:00:00","08/14/2018 00:00:00","08/14/2018 00:00:00","الشارقة","Sharjah","/StagingImages/EventsImages/1534054034784.jpeg","","55.52225229999999","25.3017528","08/12/2018 00:00:00","حملات توعية"
"Behaviour Enrichment","إثراء السلوك","فريق القلب الإماراتي التطوعي","Heartfulness UAE Volunteering Team","08/13/2018 00:00:00","08/13/2018 00:00:00","08/13/2018 00:00:00","منطقة عود ميثاء","Oud Maitha","/StagingImages/EventsImages/1534057906689.png","","55.306708999999955","25.237127","08/12/2018 00:00:00","الصحة والبيئة"
"Family Wellness Program","برنامج العافية الأسرة",".سافيتا فيديا","Savita Vaidya","08/18/2018 00:00:00","08/23/2018 00:00:00","08/18/2018 00:00:00","المدرسة الهندية الدولية العالمية دبي","Global Indian International School","/StagingImages/EventsImages/1534320452082-2.jpeg","","55.215159200000016","25.0744832","08/15/2018 00:00:00","الأسرة والأطفال"
"Flood Relief Support - Kerala","دعم الإغاثة من الفيضانات - ولاية كيرالا","فريق أكاف التطوعي","AKCAF Volunteer Group","08/16/2018 00:00:00","08/31/2018 00:00:00","08/16/2018 00:00:00","دبي","Dubai","/StagingImages/EventsImages/1534346337794.jpeg","","55.270782800000006","25.2048493","08/15/2018 00:00:00","إجتماعي"
"we are the same initiative","مبادرة كلنا سوا","محمد أحمد القاضي","Mohammed Ahmed Alqadhi","08/22/2018 00:00:00","08/22/2018 00:00:00","08/22/2018 00:00:00","منطقة الراشدية","Al rashidiya","/StagingImages/EventsImages/1534807285475.png","","55.389030899999966","25.2244647","08/20/2018 00:00:00","إجتماعي"
"Fire Fighting Course","دورة مكافحة الحرائق","محمد أحمد القاضي","Mohammed Ahmed Alqadhi","09/02/2018 00:00:00","09/03/2018 00:00:00","09/02/2018 00:00:00","منطقة الحمرية - دبي","Al Hamriya - Dubai","/StagingImages/EventsImages/1535220774693.png","","55.304672799999935","25.2601903","08/25/2018 00:00:00","إجتماعي"
"Fire Fighting Course","دورة مكافحة الحرائق","محمد أحمد القاضي","Mohammed Ahmed Alqadhi","09/02/2018 00:00:00","09/03/2018 00:00:00","09/02/2018 00:00:00","منطقة الحمرية - دبي","Al Hamriya - Dubai","/StagingImages/EventsImages/1535220774693.png","","55.304672799999935","25.2601903","08/25/2018 00:00:00","حملات توعية"
"  fire fighting course","دورة مكافحة الحرائق","محمد أحمد القاضي","Mohammed Ahmed Alqadhi","09/04/2018 00:00:00","09/05/2018 00:00:00","09/04/2018 00:00:00","منطقة الحمرية - دبي","Al Hamriya - Dubai","/StagingImages/EventsImages/1535221164652.png","","55.304672799999935","25.2601903","08/25/2018 00:00:00","إجتماعي"
"  fire fighting course","دورة مكافحة الحرائق","محمد أحمد القاضي","Mohammed Ahmed Alqadhi","09/04/2018 00:00:00","09/05/2018 00:00:00","09/04/2018 00:00:00","منطقة الحمرية - دبي","Al Hamriya - Dubai","/StagingImages/EventsImages/1535221164652.png","","55.304672799999935","25.2601903","08/25/2018 00:00:00","حملات توعية"
"Women and Empowerment","المرأة و التمكين","المهندس محمد عبدالفتاح","ENG.Mohammed Abdulfatah","08/28/2018 00:00:00","08/28/2018 00:00:00","08/28/2018 00:00:00","الشارقة","sharjah","/StagingImages/EventsImages/1535262379140.jpeg","","55.52310310000007","25.3160523","08/26/2018 00:00:00","إجتماعي"
"Women and Empowerment","المرأة و التمكين","المهندس محمد عبدالفتاح","ENG.Mohammed Abdulfatah","08/28/2018 00:00:00","08/28/2018 00:00:00","08/28/2018 00:00:00","الشارقة","sharjah","/StagingImages/EventsImages/1535262379140.jpeg","","55.52310310000007","25.3160523","08/26/2018 00:00:00","الفنون والثقافة"
"Women and Empowerment","المرأة و التمكين","المهندس محمد عبدالفتاح","ENG.Mohammed Abdulfatah","08/28/2018 00:00:00","08/28/2018 00:00:00","08/28/2018 00:00:00","الشارقة","sharjah","/StagingImages/EventsImages/1535262379140.jpeg","","55.52310310000007","25.3160523","08/26/2018 00:00:00","حملات توعية"
"Women and Empowerment","المرأة و التمكين","المهندس محمد عبدالفتاح","ENG.Mohammed Abdulfatah","08/28/2018 00:00:00","08/28/2018 00:00:00","08/28/2018 00:00:00","الشارقة","sharjah","/StagingImages/EventsImages/1535262379140.jpeg","","55.52310310000007","25.3160523","08/26/2018 00:00:00","الصحة والبيئة"
"stage +1","منصة +1","المهندس محمد عبدالفتاح عمر","ENG.Moahmmed Abdulfatah","09/09/2018 00:00:00","09/09/2018 00:00:00","09/09/2018 00:00:00","الشارقة","sharjah","/StagingImages/EventsImages/1536045420992.png","","55.52225229999999","25.3017528","09/04/2018 00:00:00","إجتماعي"
